Feature_ID,ENumLab,ELab,Eri's Categories,Relevant units,Function,Form,Feature,Possible Values
GB421,27,Verb Clause 3,27Verb Clause 3,"verb, index, complementizer, particle, clause",subordination,word order,Is there a preposed complementizer in complements of verbs of thinking and/or knowing?,"1: present, 0: absent"
GB422,27,Verb Clause 4,27Verb Clause 4,"verb, index, complementizer, particle, clause",subordination,word order,Is there a postposed complementizer in complements of verbs of thinking and/or knowing?,"1: present, 0: absent"
GB322,28,Evidentials 1,28Evidentials 1,"verb, auxiliary, particle","TAM, evidentiality","conjugation, particle",Is there grammatical marking of direct evidence (perceived with the senses)?,"1: present, 0: absent"
GB323,28,Evidentials 2,28Evidentials 2,"verb, auxiliary, particle","TAM, evidentiality","conjugation, particle","Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?","1: present, 0: absent"
GB134,29,Clause Complexy 1,29Clause Complexy 1,clause,"predication, subordination",word order,Is the order of constituents the same in main and subordinate clauses?,"1: present, 0: absent"
GB327,29,Clause Complexy 2,29Clause Complexy 2,"clause, NP",relativization,word order,Can the relative clause follow the noun?,"1: present, 0: absent"
GB328,29,Clause Complexy 3,29Clause Complexy 3,"clause, NP",relativization,word order,Can the relative clause precede the noun?,"1: present, 0: absent"
GB329,29,Clause Complexy 4,29Clause Complexy 4,"clause, NP",relativization,word order,Are there internally-headed relative clauses?,"1: present, 0: absent"
GB330,29,Clause Complexy 5,29Clause Complexy 5,"clause, NP",relativization,word order,Are there correlative relative clauses?,"1: present, 0: absent"
GB331,29,Clause Complexy 6,29Clause Complexy 6,"clause, NP",relativization,word order,Are there adjoined relative clauses?,"1: present, 0: absent"
GB519,30,AUX1,30AUX1,particle,"TAM, mood, modality",particle,"Can mood be marked by a non-inflecting word (""auxiliary particle"")?","1: present, 0: absent"
GB520,30,AUX2,30AUX2,particle,"TAM, aspect",particle,"Can aspect be marked by a non-inflecting word (""auxiliary particle"")?","1: present, 0: absent"
GB521,30,AUX3,30AUX3,particle,"TAM, tense",particle,"Can tense be marked by a non-inflecting word (""auxiliary particle"")?","1: present, 0: absent"
GB302,31,Clause SubCo 1,31Clause SubCo 1,"particle, auxiliary","passive, valency change, derivation, valency decrease","particle, auxiliary",Is there a phonologically free passive marker ('particle' or 'auxiliary')?,"1: present, 0: absent"
GB303,31,Clause SubCo 2,31Clause SubCo 2,"particle, auxiliary","antipassive, valency change, derivation, valency decrease","particle, auxiliary",Is there a phonologically free antipassive marker ('particle' or 'auxiliary')?,"1: present, 0: absent"
GB304,31,Clause SubCo 3,31Clause SubCo 3,clause,"passive, valency change, derivation, valency decrease",absence vs. presence,Can the agent be expressed overtly in a passive clause?,"1: present, 0: absent"
GB257,32,Interrogation1,32Interrogation1,"verb, clause, sentence","mood, interrogation",intonation,Can polar interrogation be marked by intonation only?,"1: present, 0: absent"
GB260,32,Interrogation2,32Interrogation2,"verb, clause, sentence","mood, interrogation",word order,Can polar interrogation be indicated by a special word order?,"1: present, 0: absent"
GB262,32,Interrogation3,32Interrogation3,"verb, clause, particle","mood, interrogation","particle, word order",Is there a clause-initial polar interrogative particle?,"1: present, 0: absent"
GB263,32,Interrogation4,32Interrogation4,"verb, clause, particle","mood, interrogation","particle, word order",Is there a clause-final polar interrogative particle?,"1: present, 0: absent"
GB264,32,Interrogation5,32Interrogation5,"verb, clause, particle","mood, interrogation","particle, word order",Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?,"1: present, 0: absent"
GB285,32,Interrogation6,32Interrogation6,"verb, clause, particle","mood, interrogation","particle, conjugation",Can polar interrogation be marked by a question particle and verbal morphology?,"1: present, 0: absent"
GB286,32,Interrogation7,32Interrogation7,verb,"mood, interrogation",conjugation,Can polar interrogation be indicated by overt verbal morphology only?,"1: present, 0: absent"
GB291,32,Interrogation8,32Interrogation8,"verb, clause, sentence","mood, interrogation",tone,Can polar interrogation be marked by tone?,"1: present, 0: absent"
GB297,32,Interrogation9,32Interrogation9,"clause, verb, negator","TAM, mood, interrogation, negation","particle, conjugation, word order",Can polar interrogation be indicated by a V-not-V construction?,"1: present, 0: absent"
GB324,33,Interrogation1,33Interrogation1,"verb, interrogative","mood, interrogation","conjugation, paradigm","Is there an interrogative verb for content interrogatives (who?, what?, etc.)?","1: present, 0: absent"
GB325,33,Interrogation2,33Interrogation2,interrogative,"mood, interrogation, quantification","paradigm, declension",Is there a count/mass distinction in interrogative quantifiers?,"1: present, 0: absent"
GB326,33,Interrogation3,33Interrogation3,"interrogative, clause","mood, interrogation",word order,Do (nominal) content interrogatives normally or frequently occur in situ?,"1: present, 0: absent"
GB265,34,Comparative1,34Comparative1,"verb, auxiliary, particle, clause, adjective","comparison, predication","auxiliary, particle","Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?","1: present, 0: absent"
GB266,34,Comparative2,34Comparative2,"verb, particle, clause, adjective, adposition","comparison, predication, argument marking, oblique, locative","flagging, indexing",Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?,"1: present, 0: absent"
GB270,34,Comparative3,34Comparative3,"verb, clause, adjective, sentence","comparison, predication",special construction,Can comparatives be expressed using two conjoined clauses?,"1: present, 0: absent"
GB273,34,Comparative4,34Comparative4,"verb, auxiliary, particle, clause, adjective, adposition","comparison, predication","flagging, indexing",Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?,"1: present, 0: absent"
GB296,35,Ideo,35Ideo,ideophone,iconicity,"declension, conjugation, word order",Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?,"1: present, 0: absent"
